Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
"Fire, Grass & Water - An Air, Land & Sea Pokémon Retheme",Jon Perry,Arcane Wonders,Free,0,2,up to 20 minutes,8+,Anime/Cartoon,Area Control / Area Majority / Territory Control,Card Play Conflict Resolution,LIGHT-MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),Use your Pokémon Starters to win in two out of three Gyms!,"In this retheme, you are a trainer competing in three Gyms (Fire, Grass & Water themed). Play your starters in their matching Gym, get more points that your opponent, and win in two out of three of them to win the round! Remember that you can tactically retreat anytime -use it to your advantage to avoid giving extra points to your adversary, and come back to try again!",https://boardgamegeek.com/filepage/308145/fire-grass-and-water-a-pokemon-retheme,,"2 pages, double-sided",Tokens or pen & paper to track the score.,English,2025,https://cf.geekdo-images.com/rndrDk1bEGk-piivBSg9-A__imagepagezoom/img/ilHzaHQuyBqul8S0k2GuLTMBd58=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic9130691.png,FREE PNP RETHEMES,
Server Breach,Sterling Stokes,web published,Free,,1,up to 20 minutes,10+,Science Fiction,Set Collection,Area Control,LIGHT,Solo,Base Game,Simple Cuts (a few cards or tiles),Recruit Hackers to take down the shadowy Corp. Control all Columns and breach all Servers to win.,"In Server Breach, you will recruit Hackers (play cards for skill value and suit) to gain control of Control Columns (have the most value in each column) and breach Servers (fulfill required sets). Each turn is just 3 cards and 3 choices: recruit 1 Hacker to a Server, recruit 1 Hacker to a Control Column, and lose 1 Hacker to the Corp side. From this simplicity, a hacky puzzle emerges, containing meaningful choices and a 15 minute playtime. Do you have what it takes to bring down the Corp?",https://drive.google.com/drive/folders/1oKRrelWlMUrOXooRWxMRscOr9Eoyf9j_?usp=sharing,https://boardgamegeek.com/thread/3545479/wip-server-breach-fast-solo-card-game-of-strategic,7 (double-sided),,English,2025,https://cf.geekdo-images.com/-5GMTTHhNF03oUb1yyHUYA__original/img/Q-cOG9c0Za2voyGj5D0rIp6SdmY=/0x0/filters:format(png)/pic9089745.png,2025 SOLO PNP CONTEST,
Ruse: Roll N' Write,Guime,Ruse Games,Paid,"7,20 USD",1-100,up to 30 minutes,12+,Animals / Nature,Flip & Write / Roll & Write,Dice Rolling,MEDIUM,Competitive,Base Game,Quick Print (no crafting required),"Collect resources, fulfill objectives, raise your kits, player with most VPs wins!","The foxes are busy gathering the resources they need to raise their kits, while the curious little ones explore the tunnels of their den in search of fabulous discoveries.Can you accumulate the necessary resources to ensure the survival of your pack? Over four rounds, you must collect the necessary resources in vital territories, fulfill objectives, and raise as many kits as possible while developing their instincts. The player who accumulates the most victory points (VP) wins the game.",https://ruse.games/product/ruse-roll-n-write-pnp/,,2 pages,"Dice, Pen","English, French",2023,https://cf.geekdo-images.com/tnI2VQJb9BWGYA0_R3dB_Q__original/img/wBVYe_bjwt4-xw82e9AjJq7CrvQ=/0x0/filters:format(jpeg)/pic7620386.jpg,,
War In The Pacific: A WW2 Roll & Write Game,Martin melbardis,Solo Wargame,Paid,$5.50,1,up to 30 minutes,14+,Historical / War,Flip & Write / Roll & Write,Dice Allocation,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),A Solo PNP WW2 Roll & Write Wargame about the island hopping campaign in the Pacific,"The year is 1942. Japan has swept across the Pacific, bombing Pearl Harbor, seizing territories, and threatening Asia. The U.S. strikes back with an island-hopping campaign, targeting Guadalcanal, Iwo Jima, and Okinawa. In War in the Pacific, you’ll manage resources for offensives, supply lines, and strategic bombing, while balancing the Manhattan Project to race for nuclear weapons. Will you invade Japan at great cost, or bomb it into surrender before time runs out?",https://www.wargamevault.com/en/product/528038/war-in-the-pacific-war-in-the-pacific-a-ww2-roll-write-game,https://shop.dicepen.pl/shp/products/details/prd:684,8 pages,-6 white six-sided dice  -3 red six-sided dice  -5 black cubes  -3 blue cubes  -3 green cubes,English,2025,https://cf.geekdo-images.com/fTqB0EJaxljDcZ5veWhdMg__original/img/DSwGKgZlFxLiViydH5EyfSLOt-Q=/0x0/filters:format(png)/pic8817311.png,,
Operation Barbarossa: A WW2 Roll & Write Game,Martin Melbardis,Solo Wargame,Paid,$5.50,1,up to 30 minutes,14+,Historical / War,Flip & Write / Roll & Write,Dice allocation,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),A Solo PNP Roll & Write Wargame of the 1941 German Invasion of the Soviet Union,"The year is 1941. Germany launches Operation Barbarossa, the largest invasion in history, driving east to crush the Soviet Union. In Operation Barbarossa: A WW2 Roll & Write, every die roll shapes your campaign—allocate resources, strike Leningrad, Moscow, or Kiev, and manage stretched supply lines under relentless Soviet resistance. As winter closes in and resources dwindle, every decision, attack, reinforce, or resupply, could mean triumph or catastrophic failure.",https://www.wargamevault.com/en/product/530313/operation-barbarossa-a-ww2-roll-write-game,https://shop.dicepen.pl/shp/products/details/prd:616,7 pages,-7 white six-sided dice  -3 red six-sided dice  -5 black cubes  -3 blue cubes,English,2025,https://cf.geekdo-images.com/qMF9fP4Q3uccBKbQjA5kEA__original/img/OwPTD8Qi8HHwgefRrtF0h0UjiIM=/0x0/filters:format(jpeg)/pic8592337.jpg,,
Rome Must Fall: A Roll & Write Game,Martin Melbardis,Solo Wargame,Paid,$5.50,1,up to 30 minutes,14+,Historical / War,Flip & Write / Roll & Write,Dice Allocation,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),A solo Roll & Write game about defending the Roman Empire against the barbarians hordes!,"The year is 425 AD. Rome, once the world’s superpower, is collapsing under barbarian invasions, civil strife, and dwindling resources. In Rome Must Fall, every die roll decides your empire’s fate as you defend Gaul, Hispania, Illyria, Africa, Italia, and the vital Mediterranean. Marauding Visigoths, Vandals, Huns, and Franks advance relentlessly and your resources will never be enough. Rally your legions, fortify regions, and fight to hold the Eternal City or watch history record its final days.",https://www.wargamevault.com/en/product/533027/rome-must-fall-a-roll-write-game,https://shop.dicepen.pl/shp/products/details/prd:587,7 pages,-6 white six-sided dice  -3 red six-sided dice  -1 black six-sided dice  -5 red cubes,English,2024,https://cf.geekdo-images.com/5oAFPmxtEGMrJV9ImwJLKA__original/img/0HOoM3zAluwU_Yx3ekA3vlH3eOE=/0x0/filters:format(png)/pic8436898.png,,
Piracy! - Hunters of the Seven Seas,Bojan Prakljacic,web published,Free,,1,up to 30 minutes,12+,Pirates,Move Through Deck,Multi-use Cards,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),"Sail the seas as a pirate captain, battling ships, looting gold, and evading myriad dangers.","Name your captain, ship, and colors. Choose your waters and sail 12 (or 6) weeks to reach 1000 gold. Each reshuffle marks time. Battle ships by damaging, boarding, and defeating crews to claim loot and notoriety. Spend gold in ports to repair, recruit, and gather rumors—but beware Man-of-Wars hunting you down!",https://boardgamegeek.com/thread/3221319/wip-piracy-hunters-of-the-seven-seas-solitary-card,https://drive.google.com/file/d/1DUjxhK64KrQyz-zjJJJ2YY88ROj5VYRv/view?usp=sharing,"54 cards, player sheet",pen or pencil,English,2024,https://cf.geekdo-images.com/nx3fdD7ctexXDlQx4T0LRg__original/img/TVhksvC7T0Sy_3EJToG8Tf0PvHU=/0x0/filters:format(png)/pic9134454.png,,
Crumbs! The Sandwich Filler Game,J.Antscherl,Minerva Tabletop Games,Paid,£5,1-2,up to 20 minutes,10+,Food,Puzzle Solving,Resource Management,LIGHT-MEDIUM,Solo/Cooperative,Base Game,Simple Cuts (a few cards or tiles),"Make sandwiches for a queue of hungry customers in this cute, compact, and challenging card game!","It’s the lunchtime rush at your cafe and you have a queue of hungry customers! Can you serve enough sandwiches in time to keep them all satisfied? Stack ingredient cards, make sandwiches, and serve your customers to complete their orders and refresh your actions. Serve everyone to win the game but if you run out of actions your customers will give you a bad review! With variable setup, quick playtime, and satisfying gameplay, Crumbs! is a game that'll leave you hungry for more!",https://www.minervatabletop.co.uk/product-page/crumbs-the-sandwich-filler-game-print-play,https://boardgamegeek.com/filepage/305561/crumbs-the-sandwich-filler-game-rules,5,N/A,English,2025,https://cf.geekdo-images.com/S_wRdM16nYeOdTcBu0OrXA__original/img/4SZM4d5TcTeAcacEIe4A7b4h5tI=/0x0/filters:format(png)/pic9135649.png,,
Secret Sith: A Star Wars Retheme of Secret Hitler,"Mike Inside, from an original design by Mike Boxleiter, Tommy Maranges, Max Temkin",web published,Free,,5-10,up to 60 minutes,14+,Science Fiction,Deduction,Bluffing,LIGHT-MEDIUM,Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)","This is a Star Wars version of Secret Hitler, with some custom colouring and components",Secret Hitler is a dramatic game of political intrigue and betrayal set in the Star Wars universe. Each player is randomly and secretly assigned to be a Loyalist or a Separatist and one player is the Secret Sith Lord The Separatists coordinate to sow distrust and install their cold-blooded leader; the Loyalists must find and stop the Secret Sith before it's too late. The Loyalist team always has a majority.,https://boardgamegeek.com/filepage/140680/secret-sith,http://secrethitler.com/assets/Secret_Hitler_Rules.pdf,"* 10 ""confidence-no"" cards and 10 ""confidence-yes"" cards. * 1 of each individual role card (11 in total.) * 6 Loyalist Membership cards, and 4 Separatist Membership cards. * A few ""Confirmed Not Palpatine"" cards  * 1 ""discard"" card and 1 ""draw"" card.  * 6 Loyalist Policy cards, and 11 Separatist Policy cards.  * 10 Envelopes. ",,English,2016,https://cf.geekdo-images.com/camo/24874634578e9e214a52f2479fc8990c5351ed8b/68747470733a2f2f692e696d6775722e636f6d2f797537566e7a512e6a7067,FREE PNP RETHEMES,
Dungeon Map Maker,Harry Metcalf,web published,Paid,$12,1,up to 60 minutes,10+,Dungeon Crawl,Flip & Write / Roll & Write,Map Drawing,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),"Draw your own dungeon map, then delve into it. ","Dungeon Map Maker is a solitaire roll-and-write game played in two distinct phases.
In the mapping phase, you will act as a scribe, mapping out the floor plan of a dungeon by choosing which rooms, tunnels, and caverns to draw. In the exploration phase, you will act as an adventurer, pursuing a main quest as you delve into the corners of the dungeon.
Set yourself up for success by carefully crafting your map, then challenge yourself against the worst of the dungeon!",https://harry-metcalf.itch.io/dungeon-map-maker,,2 pages,,English,2025,https://cf.geekdo-images.com/C6jj4YCu-jd5avuBbRRFyQ__original/img/yPhCBS2CWHbwPUJLwgP9UL49i7g=/0x0/filters:format(png)/pic9090349.png,,
Battlecrest,"Dustin Dobson, Milan Zivkovic",Button Shy,Paid,"2,59",1-2,up to 30 minutes,10+,Science Fiction,Action Selection,Variable player powers,MEDIUM,,Base Game,Simple Cuts (a few cards or tiles),In an fighting arena drawn by few cards two teams fights against each other for the glory,"Battlecrest is a card-based tactical skirmish game for 2 players (1-4 with expansions). With perfect information, players must truly outwit their opponent to win. Characters are composed of 6-card sets featuring a hero card, a health tracker, and action cards. Occasionally a minion or item will replace an action card. The map is built of 6 cards as well, with the cards randomly placed in a set pattern.

",https://www.pnparcade.com/products/battlecrest-fellwoods-base-game,,10 pages,None,English,2022,https://buttonshygames.com/cdn/shop/products/Battlecrest.png?v=1712156537,,
Treasures Lost,Denis Kurdiukov,Nukazombee Games,Paid,$5,1-100,up to 20 minutes,8+,Adventure,Flip & Write / Roll & Write,Grid Movement,LIGHT-MEDIUM,Solo/Competitive,Base Game,Quick Print (no crafting required),Join the expedition to treasures long lost!,"Embark on a daring adventure in Uncharted Realms! Battle fierce monsters and outsmart traps to uncover ancient riches. Will you emerge as the ultimate treasure hunter? In this immersive experience, players take on the roles of intrepid explorers, navigating through enchanting landscapes fraught with peril and mystery. Each map offers a new and unique challenge, filled with winding pathways, treacherous terrain, and ancient ruins waiting to be explored.",https://www.patreon.com/nukazombee/shop/treasures-lost-570940?source=storefront,,4,"1 D6 die, 1 pen",English,2024,https://i.imgur.com/PYNhXaJ.png,,
The Tracker: Postapocalyptic Ranger,Denis Kurdiukov,Nukazombee Games,Paid,$5,1,up to 60 minutes,10+,Post-Apocalyptic / Zombie,Flip & Write / Roll & Write,Exploration,MEDIUM,Solo,Base Game,Quick Print (no crafting required),"Skilled in surviving outside the safe zones, you face deadly creatures and raiders head-on.","You are one of the Trackers, the most experienced nomads in the wasteland. skilled in surviving outside the safe zones, you recover lost valuables from the old world and face deadly creatures and raiders head-on.

Constantly on the move, you search for loot and new contracts from those in need of your services. the law-abiding respect you, paying with the most valuable resource in this scorched land-water.",https://www.patreon.com/nukazombee/shop/tracker-postapocalyptic-ranger-original-773496?source=storefront,,1,"4x d6 dice of one color, 4x d6 dice of another color, 1x player token, 1x pen.",English,2024,https://i.imgur.com/A6UXx3F.png,,
SkyCraft,Denis Kurdiukov,Nukazombee Games,Paid,$5,1-100,up to 60 minutes,8+,Fantasy,Flip & Write / Roll & Write,Grid Movement,MEDIUM,Solo/Competitive,Base Game,Quick Print (no crafting required),"Get back in the air, harness the wind and outwit the advancing orcs before they reach the King.","Orcs are advancing toward our King, who lies ill in the tavern after enemy shamans unleashed a deadly curse across the valley. You are the only member of the King's party with basic alchemy skills and the ability to navigate the skies in your air balloon.

Choose your character. Decide whether to excel in foraging, potion crafting, sky ship navigation, astronomy, or other unique specializations. Adapt to changing circumstances, and switch between classes as needed.

",https://www.patreon.com/nukazombee/shop/skycraft-original-game-862244?source=storefront,,2,"7 tokens(gems) for skill points, 1 token for skill progress tracker, 1 enemy token, 1 player token, 7 d6 dice (1x color A, 2x color B, 4x color C), 1 pen.",English,2024,https://i.imgur.com/AKnhNpN.png,,
Recycled,Denis Kurdiukov,Nukazombee Games,Paid,$8,1,up to 60 minutes,8+,Survival,Flip & Write / Roll & Write,Dice Management,MEDIUM,Solo,Base Game,Quick Print (no crafting required),"After a technological disaster, an abandoned waste engineer is surviving on an orbital junkyard.","Manage resources efficiently and construct buildings to increase your supply. Use your action points wisely to stay alive and eventually escape this place.

Check out the Kickstarter link below for HOW-TO-PLAY video and more information about the game:

https://www.kickstarter.com/projects/nukazombee/recycled",https://www.patreon.com/posts/recycled-140612531?source=storefront,,2,"3 Dice, 1 Pen","English, German, French",2024,https://i.imgur.com/4E183OF.png,,
